,city,lat,lon,max temp,humidity,cloudiness,wind speed,date
526,Moerai,-22.43,-151.33,73.29,69,4,8.63,1591750670
527,Ássiros,40.82,23.03,70.0,74,68,2.44,1591750670
528,Yerbogachën,61.28,108.01,53.85,60,18,6.91,1591750571
529,Scarborough,54.28,-0.4,51.01,80,100,1.01,1591750670
530,Suba,10.84,121.01,85.14,68,92,4.63,1591750671
531,Toora-Khem,52.47,96.11,46.78,77,94,1.7,1591750671
532,Sandnessjøen,66.02,12.63,46.4,87,0,5.82,1591750671
533,Upata,8.01,-62.4,81.0,80,25,3.0,1591750400
534,Doha,25.29,51.53,87.8,52,0,3.36,1591750671
535,Bandarbeyla,9.49,50.81,83.28,65,0,24.0,1591750671
